ID	ENA-RUN	Sample ID (SGDP)	Genetic sex assignment	Population ID	Region	Country
ERS1042248	ERR1025622,ERR1419183	S_Esan-2	XX	Esan	Africa	Nigeria
ERS1042176	ERR1019075,ERR1419108	S_Ju_hoan_North-2	XY	Ju_hoan_North	Africa	Namibia
ERS1042177	ERR1019076,ERR1419096	S_Ju_hoan_North-3	XY	Ju_hoan_North	Africa	Namibia
ERS1042265	ERR1025639,ERR1347655,ERR1625858	S_Luhya-2	XY	Luhya	Africa	Kenya
ERS1255044	ERR1347660	S_Luo-2	XX	Luo	Africa	Kenya
ERS1042266	ERR1025640,ERR1419136	S_Mandenka-1	XY	Mandenka	Africa	Senegal
ERS1042267	ERR1025641,ERR1419145	S_Mandenka-2	XX	Mandenka	Africa	Senegal
ERS1042283	ERR1025657,ERR1419179	S_Yoruba-1	XX	Yoruba	Africa	Nigeria
ERS1042284	ERR1025658,ERR1419171	S_Yoruba-2	XY	Yoruba	Africa	Nigeria
ERS1042236	ERR1025610,ERR1419188	S_Ami-1	XY	Ami	EastAsia	Taiwan
ERS1042224	ERR1025598,ERR1419198	S_Atayal-1	XY	Atayal	EastAsia	Taiwan
ERS1042243	ERR1025617,ERR1419151	S_Cambodian-1	XY	Cambodian	EastAsia	Cambodia
ERS1042244	ERR1025618,ERR1419162	S_Cambodian-2	XX	Cambodian	EastAsia	Cambodia
ERS1042175	ERR1019074,ERR1419125	S_Japanese-2	XX	Japanese	EastAsia	Japan
ERS1042264	ERR1025638,ERR1419189	S_Kinh-2	XY	Kinh	EastAsia	Vietnam
ERS1255084	ERR1347700	S_Korean-2	XX	Korean	EastAsia	Korea
ERS1042124	ERR1019060,ERR1419116	S_Miao-1	XY	Miao	EastAsia	China
ERS1042141	ERR1019039,ERR1419094	S_Naxi-2	XY	Naxi	EastAsia	China
ERS1042240	ERR1025614,ERR1419172	S_Bulgarian-1	XY	Bulgarian	WestEurasia	Bulgaria
ERS1042241	ERR1025615,ERR1419180	S_Bulgarian-2	XY	Bulgarian	WestEurasia	Bulgaria
ERS1042245	ERR1025619,ERR1419152	S_Druze-2	XY	Druze	WestEurasia	Israel(Carmel)
ERS1042246	ERR1025620,ERR1419199	S_English-1	XY	English	WestEurasia	England
ERS1042249	ERR1025623,ERR1419181	S_Georgian-1	XY	Georgian	WestEurasia	Georgia
ERS1042250	ERR1025624,ERR1419173	S_Georgian-2	XY	Georgian	WestEurasia	Georgia
ERS1042255	ERR1025629,ERR1419182	S_Hungarian-1	XX	Hungarian	WestEurasia	Hungary
ERS1042256	ERR1025630,ERR1419174	S_Hungarian-2	XY	Hungarian	WestEurasia	Hungary
ERS1042257	ERR1025631,ERR1419193	S_Icelandic-1	XX	Icelandic	WestEurasia	Iceland
ERS1042258	ERR1025632,ERR1419187	S_Iranian-1	XY	Iranian	WestEurasia	Iran
